target_text,input_text
"seven crore, one lakh, sixteen thousand, two hundred and four","seven crore, one lakh, sixteen thousand, two  plant hundred and four"
"seven crore, six lakh, seventeen thousand and twenty-seven","seven crore, six lakh, seventeen thousand 1nd twenty-seven"
"seven crore, six lakh, seventeen thousand and twenty-seven","seven crore, six lakh, seventeen thousand and twenty-sevens"
"seven crore, six lakh, seventeen thousand and twenty-seven","seven crore, six lakh, seventeen thousand & twenty-seven"
"seven crore, six lakh, seventeen thousand and twenty-seven","seven crore, six lakh, seventeen thousand an agree d twenty-seven"
"seven crore, fourteen lakh, seventy-eight thousand, two hundred and sixty-six","seven crore, fourteen 1akh, seventy-eight thousand, two hundred and sixty-six"
"seven crore, fourteen lakh, seventy-eight thousand, two hundred and sixty-six","seven crore, fourteen lakh, seventy-eight thousand, two hunderd and sixty-six"
"seven crore, fourteen lakh, seventy-eight thousand, two hundred and sixty-six","sevencrore,fourteenlakh,seventy-eightthousand,twohundredandsixty-six"
"seven crore, fourteen lakh, seventy-eight thousand, two hundred and sixty-six","seven crore, fourteen lakh, seventy-eigh interest t thousand, two hundred and sixty-six"
"seven crore, twenty lakh, seventy-four thousand, three hundred and ninety-two","seven crore, twenty lakh, sevenoy-four thousand, three hundred and ninety-two"
"seven crore, twenty lakh, seventy-four thousand, three hundred and ninety-two","seven crore, twenty lakh, seventy-four thousand, three hundred and ninety-two"
"seven crore, twenty lakh, seventy-four thousand, three hundred and ninety-two","sevencrore,twentylakh,seventy-fourthousand,threehundredandninety-two"
"seven crore, twenty lakh, seventy-four thousand, three hundred and ninety-two","seven crore, twenty lakh, seventy-four thousand, three send  hundred and ninety-two"
"seven crore, twenty-six lakh, forty-six thousand, two hundred and sixty","seven crore, twenty-six lakh, forty-six thousand, two hundred a1d sixty"
"seven crore, twenty-six lakh, forty-six thousand, two hundred and sixty","seven crore, twenty-six lakh, forty-six thousand, two hunderd and sixty"
"seven crore, twenty-six lakh, forty-six thousand, two hundred and sixty","sevencrore,twenty-sixlakh,forty-sixthousand,twohundredandsixty"
"seven crore, twenty-six lakh, forty-six thousand, two hundred and sixty","seven crore, twenty-six lakh, forty-six thousand, two hundred an thing d sixty"
"seven crore, thirty-one lakh, thirty-four thousand, four hundred and eighty-nine","seven crore, thirty-one lakh, thirty-four thousand, fouu hundred and eighty-nine"
"seven crore, thirty-one lakh, thirty-four thousand, four hundred and eighty-nine","seven crore, thirty-one lakh, thirty-four thousand, four hundred and eighty-nine"
"seven crore, thirty-one lakh, thirty-four thousand, four hundred and eighty-nine","seven crore, thirty-one lakh, thirty-four thousand, four hundred & eighty-nine"
"seven crore, thirty-one lakh, thirty-four thousand, four hundred and eighty-nine","seven crore, thirty-one lakh, thirty-four thousand, four hundred and eig according hty-nine"
"seven crore, thirty-nine lakh, forty-five thousand and forty-nine","seven crore, thirty-nine lakh, foray-five thousand and forty-nine"
"seven crore, thirty-nine lakh, forty-five thousand and forty-nine","seven crore, thirty-nine lakh, forty-five thousand and forty-nine"
"seven crore, thirty-nine lakh, forty-five thousand and forty-nine","seven crore, thirty-nine lakh, forty-five thousand & forty-nine"
"seven crore, thirty-nine lakh, forty-five thousand and forty-nine","seven crore, thirty-nine lakh, forty-five thousand an at d forty-nine"
"seven crore, thirty-nine lakh, eighty-seven thousand, three hundred and thirty-one","seven crore, thirty-nine lakh, eighty-seven thou1and, three hundred and thirty-one"
"seven crore, thirty-nine lakh, eighty-seven thousand, three hundred and thirty-one","seven crore, thirty-nine lakh, eighty-seven thausand, three hundred and thirty-one"
"seven crore, thirty-nine lakh, eighty-seven thousand, three hundred and thirty-one","sevencrore,thirty-ninelakh,eighty-seventhousand,threehundredandthirty-one"
"seven crore, thirty-nine lakh, eighty-seven thousand, three hundred and thirty-one","seven crore, thirty-nine lakh, eighty remember -seven thousand, three hundred and thirty-one"
"seven crore, forty-one lakh, fifty-two thousand, four hundred and two","seven crore, forty-one lakh, fiity-two thousand, four hundred and two"
"seven crore, forty-one lakh, fifty-two thousand, four hundred and two","seven crore, forty-one lakh, fifty-two thousand, four hunderd and two"
"seven crore, forty-one lakh, fifty-two thousand, four hundred and two","sevencrore,forty-onelakh,fifty-twothousand,fourhundredandtwo"
"seven crore, forty-one lakh, fifty-two thousand, four hundred and two","seven crore, forty-one lakh, fifty-two thousa investment nd, four hundred and two"
"seven crore, forty-three lakh, five thousand, two hundred and eighty-eight","seven crore, footy-three lakh, five thousand, two hundred and eighty-eight"
"seven crore, forty-three lakh, five thousand, two hundred and eighty-eight","seven crore, forty-three lakh, five thousand, two hunderd and eighty-eight"
"seven crore, forty-three lakh, five thousand, two hundred and eighty-eight","seven crore, forty-three lakh, five thousand, two hundred & eighty-eight"
"seven crore, forty-three lakh, five thousand, two hundred and eighty-eight","seven c the rore, forty-three lakh, five thousand, two hundred and eighty-eight"
"seven crore, fifty-two lakh, sixty-five thousand, three hundred and thirty-nine","seven crore, fifty-two lakh, sixty-fiveathousand, three hundred and thirty-nine"
"seven crore, fifty-two lakh, sixty-five thousand, three hundred and thirty-nine","seven crore, fifty-two lakh, sixty-five thousand, three hunderd and thirty-nine"
"seven crore, fifty-two lakh, sixty-five thousand, three hundred and thirty-nine","seven crore, fifty-two lakh, sixty-five thousand, three hundred & thirty-nine"
"seven crore, fifty-two lakh, sixty-five thousand, three hundred and thirty-nine","seven crore, fifty-two lakh, sixty-five thousand, three hundred and  sometimes thirty-nine"
"seven crore, sixty-two lakh, six thousand, four hundred and thirty-nine","seven crore, sixty-two aakh, six thousand, four hundred and thirty-nine"
"seven crore, sixty-two lakh, six thousand, four hundred and thirty-nine","seven crore, sixty-two lakh, six thausand, four hundred and thirty-nine"
"seven crore, sixty-two lakh, six thousand, four hundred and thirty-nine","sevencrore,sixty-twolakh,sixthousand,fourhundredandthirty-nine"
"seven crore, sixty-two lakh, six thousand, four hundred and thirty-nine","seven crore, sixty-two lakh, six thousand, four hundred and t anyone hirty-nine"
"seven crore, sixty-six lakh, forty-eight thousand, one hundred and ninety-seven","seven crore, sixty-six lakh, fortyeeight thousand, one hundred and ninety-seven"
"seven crore, sixty-six lakh, forty-eight thousand, one hundred and ninety-seven","seven crore, sixty-six lakh, forty-eight thousand, one hundred and ninety-sevens"
"seven crore, sixty-six lakh, forty-eight thousand, one hundred and ninety-seven","seven crore, sixty-six lakh, forty-eight thousand, one hundred & ninety-seven"
"seven crore, sixty-six lakh, forty-eight thousand, one hundred and ninety-seven","seven  note crore, sixty-six lakh, forty-eight thousand, one hundred and ninety-seven"
"seven crore, seventy-two lakh, ninety-nine thousand, nine hundred and ninety","seven crore, seventy-t1o lakh, ninety-nine thousand, nine hundred and ninety"
"seven crore, seventy-two lakh, ninety-nine thousand, nine hundred and ninety","seven crore, seventy-two lakh, ninety-nine thousand, nine hundred and ninetys"
"seven crore, seventy-two lakh, ninety-nine thousand, nine hundred and ninety","sevencrore,seventy-twolakh,ninety-ninethousand,ninehundredandninety"
"seven crore, seventy-two lakh, ninety-nine thousand, nine hundred and ninety"," player seven crore, seventy-two lakh, ninety-nine thousand, nine hundred and ninety"
"seven crore, seventy-four lakh, forty-five thousand and ninety-seven","seven crore, seventy-four lakh, forty-five ehousand and ninety-seven"
"seven crore, seventy-four lakh, forty-five thousand and ninety-seven","seven crore, seventy-four lakh, forty-five thausand and ninety-seven"
"seven crore, seventy-four lakh, forty-five thousand and ninety-seven","seven crore, seventy-four lakh, forty-five thousand & ninety-seven"
"seven crore, seventy-four lakh, forty-five thousand and ninety-seven","seven crore, seventy-four lakh, forty-five thousa present nd and ninety-seven"
"seven crore, eighty-two lakh, eleven thousand, eight hundred and fifty-seven","seven crore, eighty-two0lakh, eleven thousand, eight hundred and fifty-seven"
"seven crore, eighty-two lakh, eleven thousand, eight hundred and fifty-seven","seven crore, eighty-two lakh, eleven thousand, eight hunderd and fifty-seven"
"seven crore, eighty-two lakh, eleven thousand, eight hundred and fifty-seven","seven crore, eighty-two lakh, eleven thousand, eight hundred & fifty-seven"
"seven crore, eighty-two lakh, eleven thousand, eight hundred and fifty-seven","seven crore, eig close hty-two lakh, eleven thousand, eight hundred and fifty-seven"
"seven crore, eighty-five lakh, forty-three thousand, three hundred and seventy-seven","sev0n crore, eighty-five lakh, forty-three thousand, three hundred and seventy-seven"
"seven crore, eighty-five lakh, forty-three thousand, three hundred and seventy-seven","seven crore, eighty-five lakh, forty-three thousand, three hunderd and seventy-seven"
"seven crore, eighty-five lakh, forty-three thousand, three hundred and seventy-seven","sevencrore,eighty-fivelakh,forty-threethousand,threehundredandseventy-seven"
"seven crore, eighty-five lakh, forty-three thousand, three hundred and seventy-seven","sev be en crore, eighty-five lakh, forty-three thousand, three hundred and seventy-seven"
"seven crore, ninety-two lakh, four thousand, six hundred and fifty-seven","seven crore, ninety-two lakh, foue thousand, six hundred and fifty-seven"
"seven crore, ninety-two lakh, four thousand, six hundred and fifty-seven","seven crore, ninety-two lakh, four thousand, six hundred and fifty-sevens"
"seven crore, ninety-two lakh, four thousand, six hundred and fifty-seven","seven crore, ninety-two lakh, four thousand, six hundred & fifty-seven"
"seven crore, ninety-two lakh, four thousand, six hundred and fifty-seven","seven crore, nin imagine ety-two lakh, four thousand, six hundred and fifty-seven"
"seven crore, ninety-four lakh, eighty-two thousand, seven hundred and eighty-nine","seven ciore, ninety-four lakh, eighty-two thousand, seven hundred and eighty-nine"
"seven crore, ninety-four lakh, eighty-two thousand, seven hundred and eighty-nine","seven crore, ninety-four lakh, eighty-two thousand, seven hunderd and eighty-nine"
"seven crore, ninety-four lakh, eighty-two thousand, seven hundred and eighty-nine","sevencrore,ninety-fourlakh,eighty-twothousand,sevenhundredandeighty-nine"
"seven crore, ninety-four lakh, eighty-two thousand, seven hundred and eighty-nine","seven  edge crore, ninety-four lakh, eighty-two thousand, seven hundred and eighty-nine"
"seven crore, ninety-six lakh, eighteen thousand, six hundred and eighty-seven","seven crore, ninety-six lakh, eighteen thousand, six hundred and eighty-1even"
"seven crore, ninety-six lakh, eighteen thousand, six hundred and eighty-seven","seven crore, ninety-six lakh, eighteen thousand, six hundred and eighty-seven"
"seven crore, ninety-six lakh, eighteen thousand, six hundred and eighty-seven","seven crore, ninety-six lakh, eighteen thousand, six hundred & eighty-seven"
"seven crore, ninety-six lakh, eighteen thousand, six hundred and eighty-seven","seven crore, ninety-six lakh, eighteen thousand rule , six hundred and eighty-seven"
"seven crore, ninety-six lakh, forty-one thousand, two hundred and thirty-one","seven crore, ninety-six lakh, fortyeone thousand, two hundred and thirty-one"
"seven crore, ninety-six lakh, forty-one thousand, two hundred and thirty-one","seven crore, ninety-six lakh, forty-one thousand, two hunderd and thirty-one"
"seven crore, ninety-six lakh, forty-one thousand, two hundred and thirty-one","sevencrore,ninety-sixlakh,forty-onethousand,twohundredandthirty-one"
"seven crore, ninety-six lakh, forty-one thousand, two hundred and thirty-one","seven crore, nin evening ety-six lakh, forty-one thousand, two hundred and thirty-one"
"eight crore, four lakh, eighty-nine thousand, two hundred and fifteen","eight crore, four lakh, eighty-nine uhousand, two hundred and fifteen"
"eight crore, four lakh, eighty-nine thousand, two hundred and fifteen","eight crore, four lakh, eighty-nine thousand, two hundred and fifteen"
"eight crore, four lakh, eighty-nine thousand, two hundred and fifteen","eightcrore,fourlakh,eighty-ninethousand,twohundredandfifteen"
"eight crore, four lakh, eighty-nine thousand, two hundred and fifteen","eight crore, four lakh, eighty huge -nine thousand, two hundred and fifteen"
"eight crore, fourteen lakh, fifty-seven thousand, eight hundred and nine","eight crore, fourteen lakh, fifty-seven uhousand, eight hundred and nine"
"eight crore, fourteen lakh, fifty-seven thousand, eight hundred and nine","eight crore, fourteen lakh, fifty-seven thausand, eight hundred and nine"
"eight crore, fourteen lakh, fifty-seven thousand, eight hundred and nine","eightcrore,fourteenlakh,fifty-seventhousand,eighthundredandnine"
"eight crore, fourteen lakh, fifty-seven thousand, eight hundred and nine","eight crore, fourteen lakh, fi easy fty-seven thousand, eight hundred and nine"
"eight crore, twenty-four lakh, nine thousand, one hundred and seventy-nine","eight crore, twenty-four lakh, ni0e thousand, one hundred and seventy-nine"
"eight crore, twenty-four lakh, nine thousand, one hundred and seventy-nine","eight crore, twenty-four lakh, nine thousand, one hundred and seventy-nines"
"eight crore, twenty-four lakh, nine thousand, one hundred and seventy-nine","eightcrore,twenty-fourlakh,ninethousand,onehundredandseventy-nine"
"eight crore, twenty-four lakh, nine thousand, one hundred and seventy-nine","eight crore, twenty-four lakh,  option nine thousand, one hundred and seventy-nine"
"eight crore, twenty-six lakh, fifty-seven thousand, four hundred and ninety-six","eight crore, twenty-six lakh, fifty-seven thousand, four hundred aod ninety-six"
"eight crore, twenty-six lakh, fifty-seven thousand, four hundred and ninety-six","eight crore, twenty-six lakh, fifty-seven thousand, four hundred and ninety-sixs"
"eight crore, twenty-six lakh, fifty-seven thousand, four hundred and ninety-six","eightcrore,twenty-sixlakh,fifty-seventhousand,fourhundredandninety-six"
"eight crore, twenty-six lakh, fifty-seven thousand, four hundred and ninety-six","eight crore, twenty-six lakh, fifty-seven thousand, four hund pretty red and ninety-six"
"eight crore, thirty-five lakh, seventy thousand, one hundred and seventy-five","eight crore, thirtyufive lakh, seventy thousand, one hundred and seventy-five"
"eight crore, thirty-five lakh, seventy thousand, one hundred and seventy-five","eight crore, thirty-five lakh, seventy thausand, one hundred and seventy-five"
"eight crore, thirty-five lakh, seventy thousand, one hundred and seventy-five","eight crore, thirty-five lakh, seventy thousand, one hundred & seventy-five"
"eight crore, thirty-five lakh, seventy thousand, one hundred and seventy-five","eight crore, thirty-five lakh, seventy thousan report d, one hundred and seventy-five"
"eight crore, thirty-six lakh, thirty-four thousand and ninety-nine","eight crore, thirty-six lakh, thirtyefour thousand and ninety-nine"
"eight crore, thirty-six lakh, thirty-four thousand and ninety-nine","eight crore, thirty-six lakh, thirty-four thousand and ninety-nine"
"eight crore, thirty-six lakh, thirty-four thousand and ninety-nine","eightcrore,thirty-sixlakh,thirty-fourthousandandninety-nine"
"eight crore, thirty-six lakh, thirty-four thousand and ninety-nine","eight crore, thirty-six lakh, thirty-four thousand and ninety- apply nine"
"eight crore, forty-two lakh, thirty thousand, seven hundred and two","eight crore, forty-two lakh, thirty thousand, seven hundred and ewo"
"eight crore, forty-two lakh, thirty thousand, seven hundred and two","eight crore, forty-two lakh, thirty thausand, seven hundred and two"
"eight crore, forty-two lakh, thirty thousand, seven hundred and two","eightcrore,forty-twolakh,thirtythousand,sevenhundredandtwo"
"eight crore, forty-two lakh, thirty thousand, seven hundred and two","eight crore, forty-two lakh, thirty thousa begin nd, seven hundred and two"
"eight crore, forty-seven lakh, fifty-one thousand, eight hundred and fifty-two","eight crore, forty-seven la1h, fifty-one thousand, eight hundred and fifty-two"
"eight crore, forty-seven lakh, fifty-one thousand, eight hundred and fifty-two","eight crore, forty-seven lakh, fifty-one thousand, eight hundred and fifty-two"
"eight crore, forty-seven lakh, fifty-one thousand, eight hundred and fifty-two","eightcrore,forty-sevenlakh,fifty-onethousand,eighthundredandfifty-two"
"eight crore, forty-seven lakh, fifty-one thousand, eight hundred and fifty-two","e put ight crore, forty-seven lakh, fifty-one thousand, eight hundred and fifty-two"
"eight crore, forty-nine lakh, eighty-eight thousand, three hundred and sixty-three","eight croue, forty-nine lakh, eighty-eight thousand, three hundred and sixty-three"
"eight crore, forty-nine lakh, eighty-eight thousand, three hundred and sixty-three","eight crore, forty-nine lakh, eighty-eight thausand, three hundred and sixty-three"
"eight crore, forty-nine lakh, eighty-eight thousand, three hundred and sixty-three","eightcrore,forty-ninelakh,eighty-eightthousand,threehundredandsixty-three"
"eight crore, forty-nine lakh, eighty-eight thousand, three hundred and sixty-three","eight crore, forty-nine lakh, eighty-eight thousand, thre Mr e hundred and sixty-three"
"eight crore, fifty-nine lakh, twelve thousand, one hundred and seventy-four","eight croru, fifty-nine lakh, twelve thousand, one hundred and seventy-four"
"eight crore, fifty-nine lakh, twelve thousand, one hundred and seventy-four","eight crore, fifty-nine lakh, twelve thausand, one hundred and seventy-four"
"eight crore, fifty-nine lakh, twelve thousand, one hundred and seventy-four","eightcrore,fifty-ninelakh,twelvethousand,onehundredandseventy-four"
"eight crore, fifty-nine lakh, twelve thousand, one hundred and seventy-four","eight crore, fifty-nine lakh, tw writer elve thousand, one hundred and seventy-four"
"eight crore, sixty-three lakh, seventy thousand, two hundred and nine","eight crore, sixty-three lakh, seventy thousand, two hundred and iine"
"eight crore, sixty-three lakh, seventy thousand, two hundred and nine","eight crore, sixty-three lakh, seventy thousand, two hundred and nine"
"eight crore, sixty-three lakh, seventy thousand, two hundred and nine","eightcrore,sixty-threelakh,seventythousand,twohundredandnine"
"eight crore, sixty-three lakh, seventy thousand, two hundred and nine","eight crore, sixty-three la family kh, seventy thousand, two hundred and nine"
"eight crore, sixty-four lakh, eighty-two thousand, five hundred and sixty-two","eight crore, sixty-four lakh, eighty-uwo thousand, five hundred and sixty-two"
"eight crore, sixty-four lakh, eighty-two thousand, five hundred and sixty-two","eight crore, sixty-four lakh, eighty-two thousand, five hundred and sixty-twos"
"eight crore, sixty-four lakh, eighty-two thousand, five hundred and sixty-two","eightcrore,sixty-fourlakh,eighty-twothousand,fivehundredandsixty-two"
"eight crore, sixty-four lakh, eighty-two thousand, five hundred and sixty-two","eight crore, sixty-four lakh, eighty-two thousand, fi foot ve hundred and sixty-two"
"eight crore, seventy-four lakh, sixty-four thousand and twenty-seven","eight crore, seventy-four lakh, sixty-four thousand and twenty-seven"
"eight crore, seventy-four lakh, sixty-four thousand and twenty-seven","eight crore, seventy-four lakh, sixty-four thousand and twenty-seven"
"eight crore, seventy-four lakh, sixty-four thousand and twenty-seven","eightcrore,seventy-fourlakh,sixty-fourthousandandtwenty-seven"
"eight crore, seventy-four lakh, sixty-four thousand and twenty-seven","eight crore, seventy-four lakh, simply  sixty-four thousand and twenty-seven"
"eight crore, eighty lakh, ninety-two thousand and forty-three","eight crore, eighty lakh, ninety-two thousand and f1rty-three"
"eight crore, eighty lakh, ninety-two thousand and forty-three","eight crore, eighty lakh, ninety-two thousand and forty-threes"
"eight crore, eighty lakh, ninety-two thousand and forty-three","eight crore, eighty lakh, ninety-two thousand & forty-three"
"eight crore, eighty lakh, ninety-two thousand and forty-three","eight crore, eighty lakh, ninety-two tho imagine usand and forty-three"
"eight crore, eighty-eight lakh, forty-six thousand, nine hundred and eighty-three","eight crore, eighty-eight lakh, forty-sax thousand, nine hundred and eighty-three"
"eight crore, eighty-eight lakh, forty-six thousand, nine hundred and eighty-three","eight crore, eighty-eight lakh, forty-six thousand, nine hunderd and eighty-three"
"eight crore, eighty-eight lakh, forty-six thousand, nine hundred and eighty-three","eight crore, eighty-eight lakh, forty-six thousand, nine hundred & eighty-three"
"eight crore, eighty-eight lakh, forty-six thousand, nine hundred and eighty-three","eight crore, eighty-eight lakh, forty-six thousand, nine hundred and eight exactly y-three"
"eight crore, ninety-one lakh, twenty-six thousand, one hundred and eighty-one","eight crore, ninety-one lakh, twenty-six thousand, one hundr0d and eighty-one"
"eight crore, ninety-one lakh, twenty-six thousand, one hundred and eighty-one","eight crore, ninety-one lakh, twenty-six thausand, one hundred and eighty-one"
"eight crore, ninety-one lakh, twenty-six thousand, one hundred and eighty-one","eight crore, ninety-one lakh, twenty-six thousand, one hundred & eighty-one"
"eight crore, ninety-one lakh, twenty-six thousand, one hundred and eighty-one","ei our ght crore, ninety-one lakh, twenty-six thousand, one hundred and eighty-one"
"eight crore, ninety-nine lakh, six thousand, eight hundred and sixty-two","eight crore, niuety-nine lakh, six thousand, eight hundred and sixty-two"
"eight crore, ninety-nine lakh, six thousand, eight hundred and sixty-two","eight crore, ninety-nine lakh, six thousand, eight hundred and sixty-two"
"eight crore, ninety-nine lakh, six thousand, eight hundred and sixty-two","eight crore, ninety-nine lakh, six thousand, eight hundred & sixty-two"
"eight crore, ninety-nine lakh, six thousand, eight hundred and sixty-two","eight crore, ninety-nine lakh, six thousand, eight hundred and six available ty-two"
"nine crore, eight lakh, eighty-seven thousand and seven","nine 0rore, eight lakh, eighty-seven thousand and seven"
"nine crore, eight lakh, eighty-seven thousand and seven","nine crore, eight lakh, eighty-seven thousand and seven"
"nine crore, eight lakh, eighty-seven thousand and seven","ninecrore,eightlakh,eighty-seventhousandandseven"
"nine crore, eight lakh, eighty-seven thousand and seven","nine crore, eig room ht lakh, eighty-seven thousand and seven"
"nine crore, seventeen lakh, ninety-seven thousand, one hundred and nine","nine crore, seventeen lakh, ninety-seven thousandu one hundred and nine"
"nine crore, seventeen lakh, ninety-seven thousand, one hundred and nine","nine crore, seventeen lakh, ninety-seven thausand, one hundred and nine"
"nine crore, seventeen lakh, ninety-seven thousand, one hundred and nine","ninecrore,seventeenlakh,ninety-seventhousand,onehundredandnine"
"nine crore, seventeen lakh, ninety-seven thousand, one hundred and nine","nine crore, seventeen lakh, ninety-seven thousan lead d, one hundred and nine"
"nine crore, twenty-three lakh, thirty thousand, eight hundred and ninety","nine crore, twanty-three lakh, thirty thousand, eight hundred and ninety"
"nine crore, twenty-three lakh, thirty thousand, eight hundred and ninety","nine crore, twenty-three lakh, thirty thausand, eight hundred and ninety"
"nine crore, twenty-three lakh, thirty thousand, eight hundred and ninety","nine crore, twenty-three lakh, thirty thousand, eight hundred & ninety"
"nine crore, twenty-three lakh, thirty thousand, eight hundred and ninety","nine crore, twenty-three lakh, thir hour ty thousand, eight hundred and ninety"
"nine crore, twenty-eight lakh, eighty-six thousand, one hundred and nineteen","nine crore, twenty-eight lakh, eig0ty-six thousand, one hundred and nineteen"
"nine crore, twenty-eight lakh, eighty-six thousand, one hundred and nineteen","nine crore, twenty-eight lakh, eighty-six thousand, one hundred and nineteens"
"nine crore, twenty-eight lakh, eighty-six thousand, one hundred and nineteen","nine crore, twenty-eight lakh, eighty-six thousand, one hundred & nineteen"
"nine crore, twenty-eight lakh, eighty-six thousand, one hundred and nineteen","nine crore, twenty-eight lakh, eighty-six thousand, one hundred or  and nineteen"
"nine crore, thirty-three lakh, nineteen thousand, eight hundred and ninety-seven","nine crere, thirty-three lakh, nineteen thousand, eight hundred and ninety-seven"
"nine crore, thirty-three lakh, nineteen thousand, eight hundred and ninety-seven","nine crore, thirty-three lakh, nineteen thousand, eight hunderd and ninety-seven"
"nine crore, thirty-three lakh, nineteen thousand, eight hundred and ninety-seven","ninecrore,thirty-threelakh,nineteenthousand,eighthundredandninety-seven"
"nine crore, thirty-three lakh, nineteen thousand, eight hundred and ninety-seven","nine crore, thirty-three lakh, nineteen thousand, eight hundre case d and ninety-seven"
"nine crore, thirty-six lakh, fifty-eight thousand, eight hundred and thirty-one","nine crore, thirty-six lakh, fifty-eight thousand,aeight hundred and thirty-one"
"nine crore, thirty-six lakh, fifty-eight thousand, eight hundred and thirty-one","nine crore, thirty-six lakh, fifty-eight thousand, eight hunderd and thirty-one"
"nine crore, thirty-six lakh, fifty-eight thousand, eight hundred and thirty-one","nine crore, thirty-six lakh, fifty-eight thousand, eight hundred & thirty-one"
"nine crore, thirty-six lakh, fifty-eight thousand, eight hundred and thirty-one","nine crore, thirty-six lakh, fifty-eight th ok ousand, eight hundred and thirty-one"
"nine crore, forty-six lakh, forty-four thousand, six hundred and seventy-three","nine crore, foety-six lakh, forty-four thousand, six hundred and seventy-three"
"nine crore, forty-six lakh, forty-four thousand, six hundred and seventy-three","nine crore, forty-six lakh, forty-four thousand, six hunderd and seventy-three"
"nine crore, forty-six lakh, forty-four thousand, six hundred and seventy-three","nine crore, forty-six lakh, forty-four thousand, six hundred & seventy-three"
"nine crore, forty-six lakh, forty-four thousand, six hundred and seventy-three","nine crore, forty-six lakh, forty draw -four thousand, six hundred and seventy-three"
"nine crore, fifty-two lakh, sixty-eight thousand, eight hundred and twenty-five","nine crore, fifty-two lakh, sixty-eight thousand, eight hundred and twenty-five"
"nine crore, fifty-two lakh, sixty-eight thousand, eight hundred and twenty-five","nine crore, fifty-two lakh, sixty-eight thousand, eight hundred and twenty-fives"
"nine crore, fifty-two lakh, sixty-eight thousand, eight hundred and twenty-five","ninecrore,fifty-twolakh,sixty-eightthousand,eighthundredandtwenty-five"
"nine crore, fifty-two lakh, sixty-eight thousand, eight hundred and twenty-five","nine crore, fifty-two lakh, sixty-eight thou education sand, eight hundred and twenty-five"
"nine crore, fifty-nine lakh, eighty-five thousand, three hundred and thirty-four","nine crore, fifty-nine lakh, eighty-five thousand, three hundaed and thirty-four"
"nine crore, fifty-nine lakh, eighty-five thousand, three hundred and thirty-four","nine crore, fifty-nine lakh, eighty-five thousand, three hunderd and thirty-four"
"nine crore, fifty-nine lakh, eighty-five thousand, three hundred and thirty-four","ninecrore,fifty-ninelakh,eighty-fivethousand,threehundredandthirty-four"
"nine crore, fifty-nine lakh, eighty-five thousand, three hundred and thirty-four","nine crore, fifty-nine lakh, eighty-five thousand, three hundred and thirty-f practice our"
"nine crore, fifty-nine lakh, eighty-five thousand, eight hundred and eighty-four","nine crore, fifty-nine lakh, eighti-five thousand, eight hundred and eighty-four"
"nine crore, fifty-nine lakh, eighty-five thousand, eight hundred and eighty-four","nine crore, fifty-nine lakh, eighty-five thousand, eight hundred and eighty-fours"
"nine crore, fifty-nine lakh, eighty-five thousand, eight hundred and eighty-four","nine crore, fifty-nine lakh, eighty-five thousand, eight hundred & eighty-four"
"nine crore, fifty-nine lakh, eighty-five thousand, eight hundred and eighty-four","nine crore, fifty-nine lakh, eighty-five thousand, eight hundred and eighty-f provide our"
"nine crore, sixty-two lakh, twenty-eight thousand, seven hundred and nine","nine crore, sixty-two lakh, twenty-eightithousand, seven hundred and nine"
"nine crore, sixty-two lakh, twenty-eight thousand, seven hundred and nine","nine crore, sixty-two lakh, twenty-eight thousand, seven hundred and nine"
"nine crore, sixty-two lakh, twenty-eight thousand, seven hundred and nine","nine crore, sixty-two lakh, twenty-eight thousand, seven hundred & nine"
"nine crore, sixty-two lakh, twenty-eight thousand, seven hundred and nine","nine c nice rore, sixty-two lakh, twenty-eight thousand, seven hundred and nine"
"nine crore, sixty-six lakh, eighteen thousand, four hundred and fifty-eight","nine crore, sixty-six lakh, eighteen taousand, four hundred and fifty-eight"
"nine crore, sixty-six lakh, eighteen thousand, four hundred and fifty-eight","nine crore, sixty-six lakh, eighteen thausand, four hundred and fifty-eight"
"nine crore, sixty-six lakh, eighteen thousand, four hundred and fifty-eight","ninecrore,sixty-sixlakh,eighteenthousand,fourhundredandfifty-eight"
"nine crore, sixty-six lakh, eighteen thousand, four hundred and fifty-eight","nine crore, sixty-six lakh, eighteen thousand, four h few undred and fifty-eight"
"nine crore, sixty-eight lakh, nine hundred and thirty-three","nine crore, sixty-eight lakh, nine hundred and thirty-ahree"
"nine crore, sixty-eight lakh, nine hundred and thirty-three","nine crore, sixty-eight lakh, nine hundred and thirty-three"
"nine crore, sixty-eight lakh, nine hundred and thirty-three","nine crore, sixty-eight lakh, nine hundred & thirty-three"
"nine crore, sixty-eight lakh, nine hundred and thirty-three","nine crore, sixty- fish eight lakh, nine hundred and thirty-three"
"nine crore, sixty-nine lakh, fifteen thousand, one hundred and thirty-five","nine crore, sixty-0ine lakh, fifteen thousand, one hundred and thirty-five"
"nine crore, sixty-nine lakh, fifteen thousand, one hundred and thirty-five","nine crore, sixty-nine lakh, fifteen thousand, one hundred and thirty-fives"
"nine crore, sixty-nine lakh, fifteen thousand, one hundred and thirty-five","ninecrore,sixty-ninelakh,fifteenthousand,onehundredandthirty-five"
"nine crore, sixty-nine lakh, fifteen thousand, one hundred and thirty-five","nine crore, sixty-nine lakh, fifteen thousand, one hundred and thirty-five past "
"nine crore, seventy-two lakh, seventy-one thousand, nine hundred and thirty-five","nineucrore, seventy-two lakh, seventy-one thousand, nine hundred and thirty-five"
